custid,address,city,email,firstname,lastname,phone,state,loannbr,mobile_app_downloaded,mobile_app_logged_in,new_borrower_within_60_days,paperless_status,web_login_used,loan1,loanamt1,loanintrt1,loan2,loanamt2,loanintrt2
CUST0022,8370 Lincoln Blvd  94184,Silver Spring,noah.scott.22@inboxnow.co,Noah,Scott,6318525543,MD,284869598,FALSE,FALSE,OPEN,TRUE,TRUE,LN000007,113600,4.23,LN000044,101800,4.87
CUST0023,2603 Walnut Ave  43408,Edison,sebastian.green.23@inboxnow.co,Sebastian,Green,7579881320,NJ,247238013,FALSE,FALSE,OPEN,TRUE,TRUE,LN000058,6000,8.44,LN000096,49800,10.08
CUST0024,3713 Monroe Ave  24367,Rochester,sofia.walker.24@inboxnow.co,Sofia,Walker,5516783091,NY,637894756,FALSE,FALSE,OPEN,TRUE,TRUE,LN000017,78000,9.88,,,
CUST0025,7549 Washington St  73782,Philadelphia,chloe.johnson.25@inboxnow.co,Chloe,Johnson,3156811317,PA,956048123,FALSE,FALSE,OPEN,TRUE,TRUE,LN000084,71000,5.49,,,
CUST0026,7858 Cedar Ln  94236,Bridgeport,noah.thompson.26@postbox.net,Noah,Thompson,3329963683,CT,209002862,FALSE,FALSE,OPEN,TRUE,TRUE,LN000037,245300,11.68,,,
CUST0027,1769 Spruce St  68750,Rockville,sophia.nguyen.27@example.com,Sophia,Nguyen,9086387071,MD,636937066,FALSE,FALSE,OPEN,FALSE,TRUE,LN000082,185500,14.94,,,
CUST0028,8648 Willow Dr  85447,Norwalk,grace.adams.28@example.com,Grace,Adams,6465305022,CT,388196874,TRUE,FALSE,OPEN,TRUE,TRUE,LN000062,217800,9.1,,,
CUST0029,5676 Willow Dr  58551,Frederick,henry.lewis.29@letterly.org,Henry,Lewis,6319377658,MD,246308127,FALSE,FALSE,OPEN,FALSE,TRUE,LN000075,191200,12.24,,,
CUST0030,6146 Monroe Ave  54737,New Haven,alexander.carter.30@mailhub.io,Alexander,Carter,6465135118,CT,247402426,TRUE,FALSE,OPEN,TRUE,TRUE,LN000010,96000,12.11,,,
CUST0031,8695 Kennedy Dr  98233,Syracuse,mateo.campbell.31@example.com,Mateo,Campbell,9083295494,NY,115712479,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000005,41500,3.91,,,
CUST0032,4236 Monroe Ave  84060,Princeton,abigail.hall.32@example.com,Abigail,Hall,3477765978,NJ,967102439,TRUE,FALSE,OPEN,TRUE,TRUE,LN000055,184000,14.02,LN000054,34700,3.06
CUST0033,7125 Spruce St  66792,Bridgeport,benjamin.davis.33@mailhub.io,Benjamin,Davis,6094702330,CT,545673925,TRUE,FALSE,OPEN,TRUE,TRUE,LN000070,16900,3.58,LN000098,208400,5.8
CUST0034,1266 Chestnut St  27581,Annapolis,benjamin.lopez.34@mailhub.io,Benjamin,Lopez,3327574683,MD,514640228,FALSE,FALSE,OPEN,TRUE,TRUE,LN000057,202200,8.63,LN000063,47400,4
CUST0035,4560 Jackson Blvd  40043,New Haven,henry.martinez.35@mailhub.io,Henry,Martinez,6462262496,CT,613752166,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000027,163900,3.92,LN000080,81200,12.18
CUST0036,4657 Birch Ct  48944,Bridgeport,owen.torres.36@mailhub.io,Owen,Torres,7328862713,CT,507857154,FALSE,FALSE,OPEN,TRUE,TRUE,LN000031,124300,14.56,LN000092,32200,7.25
CUST0037,6722 Jackson Blvd  96541,Silver Spring,daniel.clark.37@letterly.org,Daniel,Clark,7378379167,MD,629854339,TRUE,FALSE,OPEN,TRUE,TRUE,LN000047,173500,11.09,LN000069,51900,13.01
CUST0038,2694 Spruce St  04281,New Haven,layla.brown.38@letterly.org,Layla,Brown,3328633522,CT,259461962,FALSE,FALSE,OPEN,FALSE,TRUE,LN000002,97600,12.69,LN000088,174900,9.01
CUST0039,2336 Pine Rd  78372,Albany,wyatt.jackson.39@inboxnow.co,Wyatt,Jackson,2014895891,NY,528925395,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000008,131600,5.94,,,
CUST0040,4012 Roosevelt Ave  27077,Allentown,william.nelson.40@letterly.org,William,Nelson,7575953492,PA,415355431,TRUE,FALSE,OPEN,TRUE,TRUE,LN000003,148400,8.3,,,
CUST0041,2629 Pine Rd  72630,Stamford,olivia.rodriguez.41@letterly.org,Olivia,Rodriguez,7328909742,CT,558845474,TRUE,FALSE,OPEN,TRUE,TRUE,LN000043,74900,12.33,,,
CUST0042,7210 Cedar Ln  68469,Lowell,emily.green.42@postbox.net,Emily,Green,2125321919,MA,778006997,FALSE,FALSE,OPEN,FALSE,TRUE,LN000091,115300,4.51,,,
CUST0043,8253 Roosevelt Ave  26468,Hoboken,elizabeth.white.43@mailhub.io,Elizabeth,White,7814949955,NJ,424611636,TRUE,FALSE,OPEN,TRUE,TRUE,LN000087,96200,12.12,,,
CUST0044,1847 Chestnut St  55929,Allentown,emma.lewis.44@inboxnow.co,Emma,Lewis,7574811132,PA,992964398,FALSE,FALSE,CLOSE,FALSE,TRUE,LN000053,93700,10.19,,,
CUST0045,3215 Kennedy Dr  67686,Albany,owen.roberts.45@example.com,Owen,Roberts,2125168222,NY,706492763,FALSE,FALSE,OPEN,FALSE,TRUE,LN000029,90400,5.01,,,
CUST0046,4565 Birch Ct  99928,Albany,william.white.46@mailhub.io,William,White,3326792233,NY,702711595,TRUE,FALSE,OPEN,TRUE,TRUE,LN000071,238300,8.69,,,
CUST0047,7551 Adams Ave  72363,Cambridge,layla.anderson.47@inboxnow.co,Layla,Anderson,6316821410,MA,879983705,TRUE,FALSE,OPEN,TRUE,TRUE,LN000046,134400,8.06,,,
CUST0048,5086 Monroe Ave  08146,Princeton,alexander.lee.48@letterly.org,Alexander,Lee,9086293531,NJ,920893419,FALSE,TRUE,CLOSE,FALSE,TRUE,LN000074,115400,8.86,,,
CUST0049,6118 Grant St  93311,Frederick,david.miller.49@inboxnow.co,David,Miller,7812934475,MD,869262423,FALSE,TRUE,OPEN,TRUE,TRUE,LN000009,142200,3.84,,,
CUST0050,5483 Elm St  90811,Baltimore,liam.brown.50@example.com,Liam,Brown,6463782801,MD,721507228,FALSE,TRUE,CLOSE,FALSE,TRUE,LN000073,202100,9.79,,,
